index,commercial_name,business_tags,short_description,description,main_business_category,naics_label
10,Melbourne RFC,Rugby Training Programs | Kit Shop | Online Management System for Sports Clubs | Players Profile | Pitchero Manager App | Training Session Services | Sports Organization | Sports Apparel | Match Highlights | Sports Merchandise,"Melbourne RFC is a soccer club based in Derby, United Kingdom.","Melbourne RFC, also known as Melbourne Rugby Football Club, is a sports club based in Melbourne, England. The club has a history dating back to the early 1900s and is affiliated with the Midlands East (N) Midlands North Region. They have various teams, including a senior juniors, minis, and women's team, and offer training sessions and fixtures for their members. The official website provides news, fixtures, player profiles, match highlights, and other information about the club. Melbourne RFC also offers a Pitchero app for rugby union clubs to manage their operations online.",Soccer Club,Administration of Economic Programs
11,Foster Fuels Mission Critical,Fuel Additives | Construction Site Fueling | Disaster Preparedness Planning | Tank Cleaning | Sustainable Fuel Analysis | Jet Fuel Services | Routine Fuel Delivery | Tank Pumpout Services | Guaranteed Response Agreements | Reefer Trailer Fueling Services | Fuel Consulting Services,Foster Fuels Mission Critical is here to serve a variety of industries when disaster strikes with our emergency fuel services. Learn more.,"Foster Fuels Mission Critical Fuel Services is a company that provides emergency fuel response, fuel quality services, and non-emergency transportation to customers in North America and beyond. Their services are available 24/7/365, and they guarantee that their contracted critical facilities will have fuel to power operations during a power outage. They offer regular fuel maintenance and testing to ensure that their customers have the necessary fuel during an emergency. Foster Fuels' Mission Critical division provides residential and commercial services, including propane, heating oil, and more. They are fully equipped to provide prompt and reliable delivery of generator fuel for businesses, regardless of where they are located. Foster Fuel's award-winning emergency division provides customers with standardized equipment and fuel when others cannot.",Gas Stations,Gasoline Stations and Fuel Dealers
12,Mining Company,Mining Services | Mining Company,Mining Company in Dara Adamkhel,"Akurwal Pirwal Mining Company is a mining company located in Dara Adamkhel, Pakistan. They specialize in the mining of minerals such as gold, silver, copper, and lead. The company is known for its high-quality workmanship and commitment to customer satisfaction.",Mining & Gas Exploration,Support Activities for Mining
13,Sweet Charity,Kitchen Items | Furniture Pieces | Jewelry Pieces | Art Piece | Resale Shop | Glassware | Philanthropic Projects | Decorative Home Accessories | Pre-loved Goods | Linen Products,"Welcome to Sweet Charity an ever-evolving resale shop located in historic Vergennes, Vermont","Sweet Charity is a resale shop located in historic Vergennes, Vermont. The shop offers a variety of pre-loved goods for the home, including furniture, art, glassware, jewelry, kitchen goods, linens, and decorative home accessories. It is managed by Women of Wisdom, a 501(c)3 non-profit giving circle that uses its resources to empower those in need. Sweet Charity provides a constant source of funding for individuals, families, and organizations who serve the community, as well as local philanthropic projects chosen by Women. The organization encourages downsizing and encourages customers to donate items to the shop.",Salvage Merchandise & Thrift Stores,"Merchant Wholesalers, Durable Goods"
14,Fauna Systems,"Human Health Solutions | Bio-engineering Solutions | Design and Manufacturing of Functional-specific Robots | Environmental Remediation Solutions | Computer-designed Living Organism | Commercialization of Technology | Technology Development | Non-rigid, Non-living Materials Robots",Xenobot fauna systems we build xenobots for commercial applications using rigid materials allowing precise control,"Fauna Systems is a company that specializes in the design and manufacture of Xenobots, which are collections of living cells that can be programmed to perform various functions such as sensing, processing, and acting upon their physical environment. These Xenobiots are a new form of organisms that are designed by a synthesis of AI and biology, making them alive and capable of self-repairing. The company's business model is centered around designing and manufacturing function-specific Xenobos for client applications. Fauna's mission is to commercialize Xenoboots for use in various industries and medicine, with the goal of solving pressing problems in human health, environmental remediation, bio-engineering, or medicine. Unlike traditional robots, Xenobs are made of non-living materials that allow precise and predictable control, breaking the standard robotics paradigm.",Biotechnology,"Professional, Scientific, and Technical Services"
15,CoinStructive,ATM Compliance Services | Certified Fraud Examiner | Blockchain Forensics Services | Asset Recovery Services | Cryptocurrency Tracing and Recovery | Regulatory Affairs | Blockchain Investigation Services | State Money Transmission Licensing Acquisition Services | Financial Compliance | Money Transmitter Licensing Services | Digital Transactions Analysis | Technology Liaison Services | Technology Education | Day-to-day BSA/AML Compliance Operations Services | Subscription Audits,"CoinStructive- for your Money Transmitter Licensing, ATM Compliance, monthly auditing subscriptions, Blockchain Forensic Reporting & Analysis for your Digital Transactions, including Tracking, Tracing, & Recovery of CryptocurrencyEstablished in 2015, San Diego based CoinStructive acts as an educator and technology liaison for business professionals, policymakers, enterprises, universities and organizations interested in exploring Blockchain technology.","CoinStructive is a San Diego-based company established in 2015 that serves as an educator and technology liaison for business professionals, policymakers, enterprises, universities, and organizations interested in exploring Blockchain technology. They offer services such as Money Transmitter Licensing, ATM Compliance, monthly auditing subscriptions, Blockchain Forensic Reporting & Analysis for Digital Transactions, including Tracking, Tracing, & Recovery of Cryptocurrency. CoinStructive aims to provide clients with insights to make well-educated and confident business decisions, helping them gain competitive advantages. They cater to a wide range of clients, including Crypto Hedge Funds and traditional businesses across various industries, who are interested in gaining knowledge or integrating blockchain technology or cryptocurrency into their business.",Cryptocurrency,Monetary Authorities-Central Bank
16,AVicoN,Detail Engineering | Feasibility Studies | Consulting Services | Site Services | Oil and Gas Sector | Front-end and Back-end Design | Oil & Gas Consulting | Offshore Production Facilities | Off-shore Facilities | Basic & Front-end Design,"AVicoN has capabilities, experience, organization and highly experienced professional staff required to offer competitive Services for Feasibility Studies, Basic & Front-End Design, Detail Engineering and Site Services in the Oil & Gas Sector including On-shore and Off-shore facilities.","AVicoN is a flexible consulting company that was established in October 2019. They specialize in providing consulting services in the Oil & Gas Sector, offering Feasibility Studies, Basic & Front-End Design, Detail Engineering, and Site Services. With a team of highly experienced professionals, AVicoN evaluates each project to identify the most effective service and qualified team to ensure customer success. They have the capabilities, experience, organization, and highly experienced staff to offer competitive services in various engineering disciplines such as Process & Technology, Static Equipment, Rotating Machinery, Piping & Layout, Instrumentation & Control, Civil works & Steel structures, and Electrical systems. With an annual design capacity of over 40,000 man hours, Avicon aims to meet the needs of both on-shore and off-shore facilities in the industry.",Other Engineering Services," Professional Scientific and Technical Services"""
17,Sri Vinayaga Bag,Bags and Backpacks Retailer Services | Travel & Bags | Gift Bags Manufacturer | Complementary Bags Manufacturer | Promotional Gift Caps Supplier | Leather Velvet Bags Manufacturing | Soft Luggage Bags Supplier | Conference Laptop Bags,"A complete range of products and services Sri Vinayaga Bag Industries, Company. All information about Sri Vinayaga Bag Industries, Company in Chennai (India).","Sri Vinayaga Bag Industries is a Chennai-based company that specializes in manufacturing and supplying various types of bags and gift articles. They offer a wide range of products including travel bags, suitcases, complementary bags, soft luggage bags, trolley bags, conference laptop bags, executive bags, back pack corporate bags, school bags, gift articles, leather bags, leather velvet bags, and promotional gift caps. Their products are available in different designs, colors, and sizes. The company aims to provide high-quality products at affordable prices without compromising on quality and customer satisfaction. They also offer leather trolley and leather suitcases.",Leather Processing,Leather and Allied Product Manufacturing
18,Security Observatory,Security of Mass Events Consulting | Property Protection Consulting | Fire Protection Consulting Services | Data Protection Consulting Services | Think Tank Organization | Critical Infrastructure Consulting | Civil Defense Consulting | Business Continuity Consulting | Defense Analysis and Consulting | Terrorism Prevention Consulting | Migration Movements Consulting | Professional Research | Traffic Safety Consulting Services | Safety and Public Order Consulting | Social Issues Consulting | Information Security Consulting | Consulting Services | Crisis Management Consulting,"The Security Observatory is the first think tank organization in Poland dealing with security issues of cities, local government and public institutions. As","The Security Observatory is a think tank organization based in Poland that specializes in security issues related to cities, local government, and public institutions. It is the first of its kind in the country and focuses on professional research, consulting, and educational activities. The organization deals with a wide range of security issues, including public safety and order, terrorism prevention, traffic safety, migration movements, social problems, fire protection, rescue, security of mass events, assemblies, defense issues, civil defense, civil protection, crisis management, protection of persons and property, critical infrastructure, business continuity, information security, and personal data protection. The Security Observatory aims to provide proven and useful knowledge to contribute to better decision-making and more effective management of public services in various areas of security, as well as to improve the quality of state regulations.",Research Institutes,Space Research and Technology
19,Comfort Food with Spencer Watts,TV Series Production | Screening Room | Media Production Services | Comfort Food Television Series,"Comfort Food with Spencer Watts is a radio & television production company based in Ontario, Canada.","Comfort Food with Spencer Watts is a television show produced by Watts Entertainment Group Inc. The show is hosted by Spencer Watts and features a variety of guests, including celebrity chef Emeril Lagasse. The program is available for streaming on various platforms and has an episode screening room.",Radio & Television Production,Broadcasting and Content Providers
20,Library AV,Audio Book Production Services Provider | Cataloguing and Processing Services | Large Prints | Standing Order and Profile Order Services | Bookmarks and Posters | Archival Services | AV Library Services | Member Sign-in Service | Large Prints Manufacturer | Dyslexic Print Supplier for Libraries | Web Services | Dyslexic Print and DVD Supplier | DVD Repair Services Supplier | Password Reset Services | Digital Scanning of Local History | Library Services | Technology Services | Third-party DVD Manufacturer | Software Development,"Library AV & Large Print is a supplier of DVD, CD, Audio Book, Dyslexic Print and Large Print to Public and School Libraries and Private Institutions like Nursing Homes, Retirement Villages and Preschools.","Library AV & Large Print is an Australian company that supplies DVD, CD, Audio Book, Dyslexic Print, and Large Print products to public and school libraries, as well as private institutions such as nursing homes, retirement villages, and preschools. They are also the cataloguing and processing agents for several other companies, including Phoenix Library Services, Sydney Books Online, Robert Glynn, Abbey’s Bookshop, The Bookshop Darlinghurst, Dymocks, and Books Kinokuniya. The company is located in Lovell Road, Eastwood NSW, about 20 minutes drive from Sydney, Australia, and offers services to libraries such as Standing Order and Profile Orders, End processing, Cataloguing, and Accessioning Services.",Libraries,"Web Search Portals, Libraries, Archives, and Other Information Services"
21,The Garden Island Orchid Society,Orchid Tours | Horticulture | Orchid Seedlings,The Garden Island Orchid Society – Sharing the beauty of orchids throughout Kauai,"The Garden Island Orchid Society is a non-profit organization located on the island of Kauai that promotes the knowledge, culture, use, and appreciation of orchids through lectures, orchid shows, demonstrations, and other means. The Society is made up of members with a wide range of involvement with and knowledge of orchid plants, from hobbyists to commercial growers. Members can browse through the Society's orchid library at meetings and ask experts about orchid-related issues such as disease and pest problems. The society conducts orchid plant sales in the commercial tent and offers tours to local orchid nurseries or gardens that have orchards on display and other places of interest to the members. The Spring Fantasy Orchid Show is held for one weekend during March or April in the recreation hall at the United Church of Christ in Hanapepe, and the Orchids in Paradise Show is in conjunction with the Kauai County Farm Bureau Fair in August.",Botanical Garden,"Museums, Historical Sites, and Similar Institutions"
22,Rep-Strength,Gym Equipment Manufacturer | Spotter-free Bench Press Solutions | Retail | Squat/bench Press Rack | Fitness Equipment Manufacturing,REP-STRENGTH makes the best damn spotter-free bench press and squat rack solution for your home gym. Increase your max bench. Beat your personal best record.,"Rep-Strength is an American company that specializes in producing a spotter-free bench press and squat rack solution for home gyms. The company was founded by an individual who was dissatisfied with the lack of a consistent spotter system for bench press training. The Launchpads are designed to be stable and sturdy enough for any workout, allowing users to bench, squat, curl, and more with just one piece of equipment. The launchpads can position the bar in one of 14 heights to perform almost any lift with a standard or curl bar, and they hang right on the bar as a built-in rack, eliminating the need for a spotters. The product is suitable for both beginners and professionals and is designed to help users get stronger, save money, space, and time.",Fitness Equipment,Transportation Equipment Manufacturing
23,Okanogan County Electric Cooperative,By-Laws & Rules | Public Notices | COVID Protocols for Board | Strategic Planning | Clearing Around Transformers and Poles | Rate Calculator | Excavation Contractors | Solar Net Metering | Propane Sales | Assistance Programs | Clean Energy Plan | Fire Safety Shutoffs | Scam Alerts | Holding Harmless Locate/temp Disc | Quick Pay | Data Retrieval Software | Tree Trimming & Removal,"Okanogan County Electric Cooperative is an utility company based in Winthrop, Washington, United States.","Okanogan County Electric Cooperative, also known as Okanogancountyelectcoop, is a public utility company that provides electricity and propane services to the residents of Okanoga County, Washington. The company offers a variety of programs and services to its customers, including rebates and assistance programs, propane sales and service, and contractors electrical and excavation services. They also have a Wildfire Mitigation Plan in place to ensure safety during power outages. In addition, the company has implemented a Clean Energy Implementation Plan (Ceip) to promote clean energy and reduce carbon emissions. The Board of Directors has approved the revised and approved Solar Net Metering Policy, which is available for review on their Solar page. The CEO of the company is Greg Mendonca.",Utility companies,Utilities
24,Hubertus Hunting and Fishing Lodge,Tourism | Fishing Opportunities | Fishing & Hunting | Hunting Lodge Accommodations | Recreational Services,"Hubertus Hunting and Fishing Lodge is a hunting & fishing supplier based in Woolwich, Ontario, Canada.","Hubertus Hunting and Fishing Lodge Ltd is a Canadian company located in Ontario that specializes in moose and deer hunting and fishing. They offer guided hunting trips for moose, deer, and wild turkeys in the region. The company is affiliated with the Ontario Federation of Anglers & Hunters and the Ontario Wild Turkey Education Course.",Hunting & Fishing - Services & Supplies,"Fishing, Hunting and Trapping"
25,Haughley Block Plant,FORS Accredited Lorries | Premium Quality Blocks | Cement-based Mixies | Zero Emissions | Batching Facility | Sustainable Manufacturing | Lithium Battery-powered Ancillary Equipment | Concrete Masonry Manufacturing | ISO 9001 Certification | Paint Grade Blocks | Dense Blocks | Zero Carbon Block Factory | Slot Blocks | Bespoke Complex Units | Special Blocks | Fully Automated Production Facility,"Haughley Block Plant is an environmentally friendly, zero carbon block factory specialising in concrete masonry block units.","Haughley Block Plant is a UK-based company that operates the first plant in the country with zero carbon emissions. The company's philosophy is centered around sustainability, with all power used in the plant, kilns, and batching facility derived from wind or solar sources. They also utilize lithium battery-powered ancillary equipment and aim to remove cement from their mix designs. Haughley Plant Plant is committed to harmonizing with the surrounding environment and has made significant strategic investments in manufacturing and delivering premium quality block products to customers. They have a fleet of FORS accredited lorries for delivery to any site or location.","Marble, Granite & Stone Products",Nonmetallic Mineral Product Manufacturing
26,COMPASS DENTAL BILLING,Denied Claim Appeal Services | Billing System Implementation | Dental Insurance Billing Services | Insurance Payment Posting | Healthcare Administration Services | Entrepreneurship Services | Hospitality Services,Compass Dental Billing is the premiere dental billing provider that lets dentists focus more on patient care rather than administrative processes.,"Compass Dental Billing LLC is a dental insurance billing company that specializes in simplifying the claims process for dental practices. With decades of experience in insurance billing, billing system implementation, healthcare administration, hospitality, and entrepreneurship, Compass Dental is dedicated to becoming a dependable partner for their customers. They offer accurate and dependable billing services with a proactive approach, streamlining processes to improve productivity and increase profits. Their team of dental billing experts has years of experience and can handle the financial side of dental practices, allowing dentists to focus on patient care. Compass Dilling provides comprehensive billing and claims processing services, including dental claims submission, denied claims appeals, insurance payment posting, and patient financing.",Dentists & Dental Clinics,Ambulatory Health Care Services
27,Contech,Advanced Engineering Services | Hollow Core Slabs | Manufacturing | Concrete Blocks Manufacturer | Paving Stones Manufacturer,"Contech serves as a leading Manufacturing Company in the United Arab Emirates that manufactures concrete blocks, paving stones, precast, and hollow-core elements, and provides advanced steel fabrication services.","Contech Group is a manufacturing company based in the United Arab Emirates that specializes in the production of concrete blocks, paving stones, precast, and hollow-core slabs, as well as advanced engineering services. The company was established in 1987 by Faisal Al Matrook, who acquired the concrete production facilities of MCconnell Dowell Middle East. Contech has since grown to become a leading manufacturing business in the UAE, with divisions in mechanical engineering, pre-cast concrete elements, and various types of concrete block production. The engineering division has manufactured elements used in the manufacture of aluminum for DUBAL and EMAL, while the concrete division has supplied many of the UAE's largest construction projects.",Ready Mix Concrete Supplier,Specialty Trade Contractors
28,Toledano Industries,"Disposable Suits | Carabiners, Hooks, Tool Lanyards | Safety Vests | Anchor Systems | Lifelines and Rope Grabs | Banding and Strapping | Fall Protection Equipment | Rain Gear | Hearing Protection | Industrial Supplies | Fire Extinguisher | Flame Retardant Clothing | Industry | Hydroblasting | Binoculars | Self-retracting Devices | Personal Protective Equipment | Hard Hats | Safety Products Retailer | Flares | Tape and Tie Wraps | Restraint, Rescue, and Confined Space Equipment | Construction Equipment | First Aid Kits | Sun Protection | Respiratory Protection | Kit Bags",Toledano Industries is a proud distributor of High Quality Safety Products.,"Toledano Industries is an industrial and safety supplies company located in the Greater New Orleans area. With over 30 years of experience in the Gulf South Region, they offer a wide range of products including personal protective equipment, construction equipment, chemical and disposable suits, fall protection, fire retardant clothing, first aid kits, off shore/marine supplies, and more. They cater to commercial, industrial, and maritime organizations and industry professionals. Toledano Industries prides itself on competitive pricing, high-quality industrial products, and a sense of urgency to fulfill their customers' needs.",Work Clothing & Protection Equipment,Apparel Manufacturing
29,Sarcione,Repair Cost Estimation | Stick Estimating Service | ACV Analysis Services | Property Loss Consulting Services | Engineering Coordination Services | Segregated Cost Method | Damage Estimating Services | Property Insurance Industry | Current Cash Value | Replacement Cost Estimates | Real Estate Development | Building And Construction | CAT Claims | Total Loss Value Dispute Resolution Services,"Sarcione & Associates, Inc. - Building damage estimating, property loss consulting, ACV analysis, loss value dispute resolution, engineering coordination for the insurance claims industry","Sarcione & Associates, Inc. is a consulting firm that specializes in building damage estimating, property loss consulting, ACV analysis, loss value dispute resolution, and engineering coordination for the insurance claims industry. The company provides estimates for commercial and residential building losses, ranging from small property claims to multi-million dollar losses caused by catastrophes. They offer a range of services such as stick estimating, replacement cost values, ACVs analysis, segregated cost approach, engineering coordination, and more. Sarcione + Associates has worked with numerous global and local property insurance companies, independent adjusters, structural, mechanical and environmental engineers, law firms, and city departments. The founder, Arthur G. Sarcion, has over 40 years of experience in building construction, real estate development, and the property insurance claims process. The firm is known for its honesty, hard work ethic, and broad knowledge in all facets of building damage and the claims process, making it a valuable asset to clients.","Insurance - Agents, Carriers & Brokers",Insurance Carriers and Related Activities
30,Emgrants,Public Sector Transformation | State Emergency Management Services | Public Assistance and Hazard Mitigation | Application Management from Application to Closeout | MB3 PA Portal | MB1 HM Portal,EMGrantsPro is the leading edge online grant management tool for State Emergency Management departments - especially Public Assistance and Hazard Mitigation.,"EMGrantsPro is an online grant management tool designed for State Emergency Management departments, specifically for Public Assistance (PA) and Hazard Mitigation (HM) grants. The platform allows for the online application and management of federal grant programs that assist state and local governments in returning disaster areas to pre-disaster conditions and mitigating the future impact of natural hazards. Eligible applicants include local and tribal governments, as well as certain private non-profit organizations.","Executive, Legislative & Government Institutions","Executive, Legislative, and Other General Government Support"
31,Bubble Production,Advertising Services | Advertising Solutions | Brand Building Services | Advertising Media Types | Integrated Marketing Processes | Design Services | Brand Development Services,"Bubble Production loves design, advertising, product and brand developement.","Bubble Production Limited is a company based in Auckland, New Zealand that offers services to help businesses build their brand and products. They specialize in creating effective advertising through various media types and can integrate themselves into any stage of the marketing process to add value.",Digital & Marketing Agencies,Professional Scientific and Technical Services
32,Beyoulabs,Mylar Bags | Smoking Pipes | Pre Rolls Containers | Vape Carts | Custom CR Package Boxes | Down Stems | Rolling Tray With Magnetic Lid | CBD Oil Food Products | Wax Jars | Dab Tools,This is what makes Beyoulabs the unparalleled leader in smoking products and smoking accessories.,"Beyoulabs is a professional smoking supplier with over 10 years of experience in the production, packaging, marketing, and smoking industry. They offer a wide range of smoking accessories, including rolling trays with magnetic lids, grinders, ashtrays, lighters, smoking pipes, bongs, bangers, down-stems, hookahs, wax/concentrate jars, dab tools, rolling papers, food grade CBD oil, vape pens, vape carts accessories, pre-roll containers, custom CR package boxes, CR Mylar bags, and other smoking accessories. They provide a one-stop service for their smoking customers and small business owners. Beyoulabs has been constantly bringing forth new smoking solutions, responding to market demand and customer feedback, and their product evolution has seen them actively participate in the North American smoking industry over the past ten years.",Tobacco,Beverage and Tobacco Product Manufacturing
33,Beaches Title,Commercial Title Search | Real Estate Transaction Assistance | Finding A Lender | Construction Loans | Finding Surveying Companies | Title Searches | Title Policies | Furnishing Title Services | Developer Closers | Closing And Resale | Document Preparation Services | For Sale by Owner Transactions | Purchase Agreement Preparation | Loan Closings,"Beaches Title provide smooth and efficient closings for residential and commercial sellers, buyers and owners who are refinancing.","Beaches Title Services, LLC is a real estate title and closing company with over 30 years of experience in the industry. They offer a range of services to help realtors close deals and ensure customer satisfaction, including assisting with title searches, providing title policies to protect loans, and handling tasks related to title on personal or commercial properties. They specialize in residential and commercial closings, helping sellers, buyers, and owners who are refinancing, as well as real estate brokers and lenders with transactions. Beaches Title provides a full line of real estate Title Insurance and closing services, including residential and construction loan closings. They have a team of experienced professionals, including licensed real estate broker and owner Stephen B. Williams and licensed realtor Reva Bond.",Title Abstract & Settlement Offices,"Administration of Housing Programs, Urban Planning, and Community Development"
